# units: Q[W/m^3], h[W/(m^2*K)], T_inf[K], P[MPa], y[K] (y=界面两侧平均温度); dT_int[K]=界面温跃(派生,P通道诊断)
Q,h,T_inf,P,y_obs,dT_int
76315.95676254506,14.565422324340751,291.1070668863401,1.2092841638564549,335.78950522489475,-68.81962557279144
17912.395465953407,38.6026714322445,297.08571034494946,1.2175491125400246,306.6333252622983,-12.569927645087034
45454.984347162965,42.62218017278893,319.7329839313513,6.417167811817127,313.43752479296137,-18.15099453420345
39369.89328534434,36.42410572930385,312.70581804784445,9.266994791427203,304.52294551942276,-12.194543320378273
68424.7972628976,20.282200244819823,289.6270383130121,5.334513634507549,314.24342890532466,-24.39652634069381
85746.65670473097,29.720410108289787,309.4977336279661,5.742854212488376,324.75505133369325,-30.3114386983101
25493.08045701196,21.99957703260178,274.0546153931347,6.465161165053932,292.8227416551142,-5.443693482234153
19607.44273850709,37.37449078441578,318.39905532141245,1.6882746642793172,306.27848228150845,-20.63058773183269
77402.45215526343,44.457576960871975,276.8046115386353,4.574417009455539,313.82268626712164,-19.666853155942533
83497.29980629822,18.826897025000093,322.9278787918491,6.769049573499841,318.3032761330676,-30.320885279702395
36967.29517389249,43.441501758413935,312.2344574266379,8.813222697490303,304.1605382141913,-11.889581611386348
86391.26957764091,10.236971084660958,282.0793292925777,7.595693313621336,309.2921226839254,-27.298094924426664
46917.597306583964,5.256999059489301,281.05563938175544,4.32023469931136,310.95229959775355,-22.776664087381675
31561.359787088542,3.946512877492481,308.4573943635399,3.4003851898344197,309.3401201091115,-19.551719901147408
71093.45879085847,44.751846478950846,315.30619679001876,5.2360454034998565,314.95819588095196,-26.519162400575567
88561.45907927309,4.587606387225551,275.9800162957648,2.0336024538176876,341.7747739766511,-71.97167422174414
46138.69932075077,27.500025178714044,322.4964505825156,2.68065472683401,319.2977457952535,-30.575535547534002
66139.84917122049,32.220632250425936,298.99321739560423,4.948158139073389,314.25263080069266,-23.532102961735916
93495.89686726074,12.433194779644642,290.39899434814436,9.599101059635174,319.35026564992177,-25.3012570271369
37553.873035072975,33.39449000435747,276.74347483051173,6.164714069028671,306.55879178155556,-7.827460068580081
10709.900489498497,28.041522392168503,284.74897651238064,2.1681734610247156,297.19050594146034,-3.2454209431617755
61792.24809228274,7.856383638265237,280.77498939285005,9.997789812825484,310.51298788864875,-16.57314487978101
54558.97217756093,3.703088619294008,291.80042609925084,4.76819966912879,317.20567141906724,-25.99107003149271
40942.432337646285,32.64748891537805,278.8481721389281,6.067353894021762,301.53719332817656,-9.449952963920396
45033.847514699984,33.69413150107437,303.90027962149935,2.9167707293472116,310.0145565891881,-22.824028978477145
65473.4374471137,46.67593575581305,308.9315730734341,8.094066368870436,311.9154613325008,-18.244643663618888
37873.31885459952,3.308890241373775,301.2131398805492,3.1941082117039397,307.5229577894927,-24.145812232745527
48335.83728601056,21.210008883414613,298.2009969377299,8.705876504746751,309.0890955415497,-13.513440873597176
43260.21660870163,24.300694520693852,282.45938642176316,7.9668846975835725,300.7336131517185,-10.46421806954504
72326.39902399607,22.650131442546936,293.58809770685446,6.013256970004832,315.5836181158327,-23.999937761810088
67167.77135564892,40.36474282969041,296.08667618757073,0.5159646183281925,334.8149948035827,-53.37996221724114
55603.14033304427,19.60873341939369,310.86082508598207,7.856310104431002,305.3240692426363,-18.114203091591833
96575.84501477603,4.514719431664802,292.9981567265387,5.550674013777697,336.70621349255293,-41.16935273112915
74472.3239916962,45.152288165986015,277.51750317936495,1.4315887163350922,318.307372685391,-31.25288682794411
36091.15544131807,19.915698510721693,289.77875716006133,1.6670009422334657,303.0680566987614,-24.22553816866315
63538.534921822655,35.93618670554757,313.5341368217419,4.144687505141013,307.4808900780213,-27.908043202441434
18658.578573033796,33.155521721888626,275.54549661139464,8.639840584068402,296.98529401114405,-1.6956131278119528
83885.32648315458,42.020141803091086,293.3201102426243,2.4197916490464664,319.0923912863808,-36.47244818171839
53997.924493709645,10.818845741214126,291.6173738914326,9.457626677987076,306.8489812635607,-14.990245534184965
12791.12976701451,39.881433876975485,286.53084567042157,8.549569004672609,296.65427131186146,-1.7401286772181948
95238.36308768849,38.990247000593364,286.3114274359612,9.69427877558136,307.00397000302445,-19.546298536895392
60729.34911675182,31.387733817684285,280.37429383459227,2.089922381965883,316.241263593537,-27.775515355852008
98907.95361141411,29.59959381520005,284.41298506858834,5.317863911243351,321.775176002729,-31.11062922132544
98233.39949962459,18.049202139437792,285.6431901444707,8.971753280294076,320.5842511114739,-25.836134950994563
99916.23313148107,15.628620565187093,283.4402644028972,6.924040623933844,323.44492149052206,-31.574636094400546
61295.097113272444,16.103407360490674,317.0216605289356,2.973895995196198,325.7336858487737,-37.280427302131216
59088.920724896765,18.404111072768035,279.9353451757293,3.1402823336544214,309.57455496237486,-27.502894801999048
78718.22863502806,17.436282051516464,303.22078151533316,0.8478121764219206,349.0703751861986,-83.30924798330096
40673.55174131856,12.374332744337783,292.5690606800682,9.887591246163156,312.48606451912224,-10.835083576542502
75771.01787134456,35.19517558392368,307.2230704753992,5.945374592832478,314.56592783997786,-25.365977779634648
19930.754894818718,31.7746023627291,306.1246166573538,0.6171976282173107,308.692317882573,-23.935449064283603
16233.673070831477,46.04417917416619,315.0015235271141,4.893372857516626,305.94048457702297,-10.844582649555377
53259.22068986135,40.66818147519764,310.12573621926595,2.611580041017509,318.54981711040864,-28.55590383942183
44429.44989826056,11.948806012683999,321.05889699051534,7.082687234311391,313.4494852818194,-17.038881715497723
68982.91565359864,6.042841872683241,281.3508566450661,3.094530917660984,331.11921453506716,-41.47610310364996
42330.97333235882,24.889954212615006,305.2393800229561,4.691371616116474,307.32704824008727,-18.060467395233502
77828.05481437051,29.013833928622375,314.6068238653002,7.23052691266287,309.9706286397409,-25.25564584600204
87354.68870420508,30.253124364423236,308.0766931598926,6.521480685761319,315.87717120541794,-28.318278402394753
24185.229732465614,34.438124685071784,287.96925287311865,0.6843871669105976,310.62549287813243,-16.13380945693126
33267.06748277051,34.81460595477777,302.2537625031551,5.827536554144266,295.33444057681714,-11.883670911908155
15997.066584739528,49.37055945606614,287.19978957629496,5.014482455813969,294.8365311433066,-2.8954016729488785
11348.665128996121,7.190810146949038,282.89829782510805,1.5060410822383843,297.17435893183637,-9.31772027579467
51483.55994593153,11.271988522934981,298.45830971150565,5.62074803128611,310.8783968694594,-20.526495972149178
38723.18525799958,13.650971067401423,312.09966975840206,5.433618796445335,315.0345009835118,-17.00153704665661
95662.10031521223,47.73342503346538,311.6475082964684,9.33070402690237,313.9281215482452,-23.657726427310877
70678.35363356027,26.083849834433895,297.59422522614625,2.308540116870181,331.4392020266833,-39.37583140842213
66297.0349617752,23.06597042256165,301.50118060576386,7.308744516102131,302.2279576395112,-20.56535795612956
13538.313779686603,39.71061935800665,307.88493142147524,4.250446707363769,297.0250126063792,-8.562107734767153
91023.86435685722,27.281097812923253,297.4793493541845,8.151656425487825,321.19385877089496,-24.699962189751147
50304.75166175898,47.33965157682334,306.45001255957027,3.9303519025559126,303.31368688474237,-20.67921837104211
27721.47956919857,22.366972523115724,273.63164007459693,1.1169706214858373,300.99682335501274,-15.331298328888522
23216.673715996014,45.45281860199115,321.84820962124763,9.770548325080417,302.68426928478914,-10.17709542600096
84435.68921369997,20.69020403363436,274.48485627303154,5.1194391153312555,319.4748234553746,-28.504071798315408
57115.34050730402,37.62543837391219,315.80246142777173,7.485898130722126,309.93510882095563,-18.9011801628547
50648.82679296283,8.983351408819097,284.14719389624196,7.454167090327315,312.74284240128605,-16.313731090865417
52110.907686021594,28.532471545361677,307.0936327284224,2.5140777857448278,316.43590000941987,-30.056124643072792
81594.14999831394,41.54569393533039,321.57283801081263,4.824892435788969,323.7501903735797,-32.937963730031754
49040.1863760846,42.18371653168663,274.6913846185453,9.063931596588562,305.88130827535304,-7.373367001738245
55977.708580060425,48.26617398201635,290.8495715374516,0.7931582648704829,312.4479541725655,-32.502700976941526
34882.45142331226,6.168532544189707,295.5165174607927,4.457393788643634,305.21580399852,-16.976166601273007
58073.06391574153,26.239063404380307,320.74614044565953,8.769253551664006,311.53157935319865,-18.5227807517021
14811.563342954727,13.234729086683979,317.9212502875233,3.7416614827591874,304.86612553005375,-10.472139202212759
92661.33585950738,24.00918932359365,283.3549088219704,9.605062896247562,314.1199608526616,-21.642965177500002
28081.23720966888,23.469072727528086,279.4089640361299,1.9258074474930853,305.658845225499,-13.249189608127438
30215.838512480772,43.00767564041591,304.75435998781165,8.477656827634693,308.3237103663532,-9.14795780364176
64004.063629376484,48.49829158622236,285.2232817644061,6.346643584153378,307.3703054567375,-14.38683699799924
12045.041997859349,16.692803647220583,300.3470367282351,9.137181707930685,297.1807747282967,-3.904982482846094
80280.04500981547,35.69763513098275,317.509841779959,8.93258377071265,320.0900283811658,-22.850378211027135
