# units: Q[W/m^3], h[W/(m^2*K)], T_inf[K], P[MPa], y[K]
Q,h,T_inf,P,y_obs
80861.643905701,11.009499298792916,282.48366731366986,7.449751082910761,322.7423656139973
53083.66238995364,44.70665702579943,321.71191899965527,8.922352751910616,316.8482209023807
10056.519804010446,26.760582361005465,302.400800271893,8.881933625477782,296.41383956498584
26182.093930474774,35.356798666804586,287.67637964348296,9.025792199731105,297.3282296026363
19228.621148053768,17.08048560666829,314.94459481436115,3.8619159768775213,298.4326884837309
54689.37185871351,30.71925848721867,291.13630933345223,3.592693781860346,302.0680861867066
57551.273369584305,9.748364799259903,299.73785409675145,6.666352734259001,307.33912577617093
90215.46689424785,42.2555341192243,289.921006359328,8.752294838578548,328.57270126506353
28454.353455916673,12.308397303342307,319.44922797192254,4.233002259810078,309.2273324487596
49110.93574456532,14.32255141887962,312.2292150309071,9.058444715917414,315.9556573991732
58493.82751024353,38.891661838742024,277.7446116196826,3.1374077103306117,308.0089748889219
23661.405393087032,40.71993544314121,322.0690134483329,9.77704346105356,310.8919406792361
11640.653447444593,17.483596845118846,288.28167344390204,1.9972509635362132,296.2552000291368
20826.47346656504,37.053568309340996,292.31681616608165,6.024840453676691,293.8059924568303
12387.153466380514,41.00517495973859,278.16412567748284,3.418977572386529,296.22514476286165
39228.11575756289,21.729022554507438,277.5282780835835,0.8036812007841228,311.81286811908683
56483.76982592891,17.548256423101563,296.5694269058037,6.056052934356776,318.6662317777154
63374.15374319173,39.691196266846866,304.49179920264817,2.9263655603408987,316.0806263318709
37294.66175768434,6.488907289760675,316.65352759294035,7.030644740195649,307.57729756966734
41354.58985952445,46.467698711091714,283.1167777610112,7.366242306986422,307.9966931998109
87268.798970128,36.533752763615325,305.6775176137016,7.855216547439048,320.2624379580671
24586.531879444985,34.54647768615155,291.6485346264286,4.787850074771749,300.4462547899612
83985.24975050165,7.494399501323261,321.3068677981579,5.655752444196551,326.85108902873054
93547.19985362251,48.23192002161602,311.95252713130253,6.290887944573041,332.02690118203896
31492.305502249445,28.31771425734532,322.68859312122584,0.7070870337407709,324.8066538625331
57148.69735993979,29.184110141514015,306.11910249931447,6.224796268599838,303.47655383788157
71463.63590562751,23.041709092631837,300.2037476282213,3.2487633242669953,320.3005180485606
55583.81324826634,39.339302391128314,278.7576753413547,9.143966075727773,307.4843927474113
65338.989837530215,25.053036046477843,286.3832761010553,7.603091372421241,310.52118984275023
64726.37749171938,19.901164573565694,273.52531876302976,2.299730580935281,329.7853779757854
27994.367675013877,42.92538177723423,313.6664053392305,8.349572742088181,298.47072779357256
51008.33086716003,38.015964564080505,307.8528714650828,1.474962545245217,324.0720757143867
88098.44027214126,42.00628232099499,298.62752670736205,9.588371093423442,321.5789804015354
73186.38881106972,15.5176834890602,275.1457461482033,6.577731055611276,313.59884755707617
90302.3731229877,30.878542265078,320.7982813446681,4.190169561121245,337.85782238684635
72833.47557257272,36.26763764789878,303.85156339351875,6.72600203955787,323.93029915533134
77307.22434826875,24.69968547514672,281.05287405410905,4.011216548774965,314.74259897723687
36851.93471129005,45.20097795459025,291.9994099533003,7.75557458051842,317.58783880599515
11449.30399492124,4.201113469249693,290.73488068869665,9.265223943699073,297.1124506465155
18772.00942205385,25.684848195827318,280.5534981797614,2.4945303413704556,294.669720447235
68883.9375332291,19.655142690343673,282.7927112360636,6.135492669646091,308.58748892196456
48893.5124916736,42.967832036965106,288.5632947054287,4.096404447485256,303.6031891075437
62584.06907869306,18.913992099731622,284.35458676531897,1.7050903023958535,311.5079146302074
42176.66940576892,43.61054911565232,306.55571055575115,1.1425865510802002,319.0327647921333
84972.88435834684,45.749978092375045,314.23027114001746,2.0336826075014587,327.92554356753413
89065.55934646871,22.590955900460752,308.4641507025663,3.5228586149543095,325.1474351648417
69869.85704084767,3.352279178281716,309.6564642564146,5.429261198188881,319.3911533011824
94870.40543409981,38.56161877598966,310.4763678516894,1.8407919565292112,336.8789124301996
80005.18650845751,34.10229567295862,293.6200556170762,8.225610815565865,313.5193683527816
86648.74742977906,16.12422348377414,290.24251773301773,3.0389088698633397,328.330177489626
77649.96331546838,24.367993886332226,276.6404746357205,7.251087643271674,315.94945377644785
50138.775615072955,4.584376811800304,285.6466926387471,1.3580851269348,333.41243845966954
83228.48745315209,40.492456531132405,317.89554974267094,1.1279679940484302,336.27461305864625
53792.57851144542,47.25386155852646,276.92037799209277,6.854167697140366,302.7703459537559
94422.00556167155,33.32969094694938,300.93043931834086,3.765745893649258,330.9917100172898
43165.41013150209,6.88830419685612,274.3615205991825,5.625273588929874,312.31840098079016
22053.765734981254,11.36512501973994,316.0231870068896,9.457905174276673,302.6665325453235
44522.190693713725,5.206757457347049,295.2394584924587,2.430258924995254,316.82168158682776
62429.552871406384,49.27019731976571,312.81645298526155,0.6302925408909473,324.86954208513276
32251.771797282847,14.63508322789349,318.48895518583686,7.153500785065288,310.0959035297905
40285.76456558684,26.305261587293792,294.8786516663582,2.816999106844125,315.00801317567124
29199.868051116297,29.40619994001741,294.2630196968631,8.500144387233235,306.33072356426095
46782.693515105704,7.707021174875884,296.1617938660944,5.772946966590523,309.9802554661287
75626.69074149375,32.08255543690828,309.1965812195717,6.5022581891543805,317.71206356927746
60201.15482607922,22.025270307073633,293.36484369682853,1.5803916106975302,328.6785031904606
35859.31056876436,13.162527085203966,276.10873864948877,5.908305168227701,297.9782780088994
17398.619958135983,32.803212383322474,301.7838978703415,8.676793091965283,298.6222807270308
70045.95025716822,14.949246943465194,309.90673351623855,2.780207473082052,330.2385140179742
33312.6503569607,18.644109821252776,311.5432128565197,7.904584789157457,303.3131718943085
21969.274059483265,8.730019097791637,311.3017760012505,3.718103075203897,302.2387149999358
97487.88222824474,10.48309250760235,299.26075402594773,9.381775551696466,321.77395605175667
44098.38446604178,43.99946275012426,283.64029835680867,7.479881808023235,308.93757825251095
91302.1375146506,27.195421705115784,298.2506461255523,2.3889259476722824,332.14451773009705
59290.3911224158,18.101619523860837,273.01271094454154,4.605286050772511,313.72505249033105
37915.04144360251,5.824973356243886,306.8126173499222,9.700479113696463,304.3262979938281
61276.03206601586,13.308620563969086,273.88853314020463,5.184513961919874,314.41590014182293
22878.056721257934,49.74183007959674,317.1657955295284,5.327577977575025,298.52431394817916
16486.19353449665,30.006846673320243,297.20420568246,5.0652684577017855,294.8560898551865
79666.01791101022,22.43510684829529,279.1086937482148,6.41718877989501,311.4583108553281
92478.36877191256,3.9816822423546516,313.1530545177335,7.959869272307739,328.2030494766471
74018.7194768239,48.48314061899837,279.8589779930137,8.068008177569652,309.04071172703067
47757.15583868919,23.714344197790016,319.1068656883253,4.86549269729714,316.54450013476077
20328.23761581343,13.939634937857743,285.4356073864774,9.892766481018226,298.6454999238831
17815.879810010367,21.130436436081247,322.31220059442813,1.0042319716626569,309.77826669291926
