# units: Q[W/m^3], h[W/(m^2*K)], T_inf[K], P[MPa], y[K] (y=界面两侧平均温度); dT_int[K]=界面温跃(派生,P通道诊断)
Q,h,T_inf,P,y_obs,dT_int
85591.86189906058,13.926395941682728,321.68138190013065,9.864236151209406,316.24854728181873,-24.754151290173354
47706.69863489194,19.2866074960986,273.3011345948532,0.9884182341256309,309.01773723445746,-36.37692409837928
96432.02764566711,49.90364400122953,274.0862417498619,2.5379231604268506,320.12868803782214,-30.366771750564567
31654.464929667032,25.80069917673025,313.5354789032632,1.2164550229584878,308.8287767112276,-30.931646822951677
65526.76247631635,26.7765778180534,316.5969701416432,7.762402532740957,318.1132299693273,-21.41616505993136
33772.06620958327,34.79198884755015,321.79368262622097,8.201402300371456,305.90475652055636,-13.331952084493764
25310.37735161109,38.15956240755944,317.5750484853943,6.54877205397686,298.86406598218446,-12.055070289632795
49016.62852222618,39.12376216533837,288.8303372867891,1.6135355116278685,308.1481433068578,-24.41674481147504
44061.028933534566,38.67876706244074,300.1769299560117,0.727885878280608,320.6936536653318,-35.472684636036604
43465.80544180087,9.797185587057628,320.8012458760416,2.9932071309541906,321.7415214271632,-28.91314551653784
60094.12019422799,43.717137649681895,288.23121618515677,8.498022691310844,303.3414548274218,-12.66630791296285
28146.008339908203,34.27711711200382,280.76770001966696,7.785898014899514,302.111748571147,-5.043208801400738
90255.06104935762,41.001323257159314,304.92344251491073,2.1664218252658447,332.53287937926325,-46.21549230657331
77813.86747777803,9.50567704005182,310.5353317575118,9.71870549939088,310.2157285772325,-22.56768819895774
98216.28464199245,5.589990610853073,302.3573033135184,4.057821349881077,341.7961375218421,-51.43511258417476
23643.74716126777,48.56751976656135,277.67576954544717,2.591484627778834,292.95575356099204,-3.391647044571357
40535.95594684601,3.0264356521542264,293.91785685324663,2.0704442691430085,307.0147086379286,-34.273843432367414
27926.606004563175,12.81194729159949,292.09603774601965,4.6565228046761575,301.13017390500846,-11.927280952431147
66489.80981678126,45.273560774663146,284.7281805707129,5.68869347186142,314.6108677016546,-16.41273186248253
68456.22657656483,15.102668553098233,275.5021002787675,5.473803509973077,317.7614319978881,-23.987240178907314
51240.43295421873,40.189843647546006,307.12618327249885,0.7430112029857627,321.6218506017838,-43.450973464889046
89547.43407243356,21.77913320249354,317.72786051714365,2.837203269643992,335.9229208880015,-51.59363534870198
83018.4759087897,42.4972844030174,297.99507083708454,4.996817348617536,313.014119097772,-26.63713512979416
88580.18455757145,33.307794558383534,285.4397675664435,6.976126403594532,321.3107838665955,-23.02214802529204
29772.619678211697,42.90593042931434,316.06088583589883,5.077768858461324,302.1245539112101,-14.926928192739751
18188.37238922935,18.28151884175464,276.19098574176405,2.254808199856737,303.35347535238157,-7.331891491194597
87196.30862033935,22.67933029026542,305.22040393697245,8.277742165505215,317.3192781132846,-25.345732396181063
10188.69499620843,6.355042969879454,298.862557258757,7.2827062084493175,298.559323591171,-3.795942267957628
36675.1551604593,13.523187951157764,320.0664855344946,8.164180659406403,307.61695775495144,-13.184278749675912
73227.02520901395,22.449467582101892,286.80564849678353,3.253680132466074,317.7669398169897,-33.28748481020716
62895.38126098619,36.40882248671788,289.08988317187806,4.791587753927791,309.09985445673584,-19.780357441678518
82118.66245758392,44.85158174573988,281.0401440120947,6.608057883405743,315.95826712445745,-18.417249030528296
20511.152492427907,10.333380973170687,319.6507144867078,3.6838408221394374,303.6350202102087,-13.398115839995455
58622.519434580274,35.34168799348051,297.18689759489877,5.129071234178196,318.73041779850104,-19.75967992848848
38768.49922789419,31.98361906581096,279.84058351566006,5.928930083417398,298.9713750339754,-9.249893291205808
63895.305938889534,44.22955458325085,315.3364171640925,8.083403160221133,315.7430245783445,-19.446505656628858
55547.48573296336,23.574807134709168,290.99491241011685,9.815997193235246,302.7104491955938,-13.31344080808907
35086.94012816899,11.538397995266502,273.59472870133277,5.348401256325499,303.28551219942455,-12.270242799889672
98763.84019183657,25.15382590796553,278.54008170806253,1.6013525809717764,325.6385802201706,-59.843672743194475
22948.375926659086,8.588481711539389,277.4244985408222,8.759205158434229,297.53634526079946,-6.084365348380118
22233.68939793094,34.39040466494508,320.9861046413683,9.455955151957191,302.77657234804593,-9.479143949117429
70292.85674769516,21.270112140667933,318.3888705528023,3.591538223305313,319.7704497798674,-36.81811563349049
71426.74792256387,40.2468252947002,278.2020548117397,7.559700395287039,307.5260599725407,-14.78299820558749
95426.79812404295,6.073568229281422,311.38476189178283,3.417519491315842,333.1588721085415,-56.23288216174734
37001.82905327463,17.02571025487611,309.13228781263365,2.1398955648505105,310.3686750719342,-27.261599082091664
72593.28971530509,21.009025395588548,314.66004922854154,5.973737788069153,315.07016003731025,-27.643376568962992
37993.36404329889,37.40884821978413,320.13630742148365,0.9464132964346743,314.1172589655632,-39.040394698411546
51585.622151753385,47.67675595923009,302.98510004953823,8.590943335902422,312.4779278032876,-13.370511971464964
53201.25298014915,8.214141581987729,285.9116503439289,2.795635205697007,315.66163997563956,-32.91403892649191
11238.688064173462,30.15224555754394,318.62094320856033,4.932296755210205,301.48919241730664,-9.174852502129568
36033.45309750644,19.45372224665142,283.0812130764822,4.301142748275732,305.0274273113387,-13.426077066170478
93486.12856507553,27.534311401597392,276.8286628813281,8.681811873079113,317.63877814306414,-21.527867391668792
56928.77544590156,16.391976069447807,282.8523839435501,4.094730428880199,305.25632256916265,-23.918384296168426
94306.97785358538,20.020906271068952,295.38235352276564,8.417738087260012,318.4067716338962,-26.38555805166817
14839.153842759297,32.78959125603826,293.7690603081613,6.866190943611811,307.99405775317865,-4.257197641161042
83810.96395346768,5.012055802079656,305.5425360652816,9.379565971745045,317.22620504592334,-25.304021386351394
77254.17918111125,27.867374981158488,311.8889755400577,3.803327728187009,318.60029058426886,-35.76277324709997
67710.28987896675,7.709592842996312,313.23335652086456,9.270016350588,309.0321463342398,-20.67732819736807
50012.88131718237,45.5338737952366,304.38314069481294,8.85988978711647,311.54659173416513,-13.189296221316681
89222.23533389076,46.32050698143726,280.1550408127687,6.747722821117106,306.710133046713,-19.50290827230924
75105.23995080791,15.88832484530284,282.4102654090342,5.174655424460423,322.0445438896873,-27.9613252927482
21842.99904229544,29.99503583966816,318.9209639999715,7.327621984893873,299.0311070696831,-10.285627010388339
81953.29044232672,31.435268374132043,289.8595939445197,4.609749182702088,320.6827637239107,-28.257198473280994
18775.287163231555,47.27723261520163,300.9437110071496,9.54763848258899,301.21760427516716,-5.416066970786233
99984.82517116991,18.979748668804845,307.2144559505868,9.973891338725666,318.6215523441854,-26.486697975720006
41974.652353951606,14.021414757409552,279.30020579330943,4.248400119786318,312.2403538872226,-17.12893714487086
64605.09582453671,12.564078004933313,302.0471114923551,8.929446176609446,310.6811916981957,-19.099345894433498
19982.835569109644,17.41613943311409,281.6299301266515,5.521502768483215,299.0483588985289,-5.880437043647589
97541.42267708092,4.8727207300095605,296.4711303325053,7.413224450903731,325.7939593338645,-34.201467342773526
26819.165370116592,46.76371090443901,295.7770861966348,3.1867759429857796,306.9916817793654,-10.712039196528451
76137.9986216652,12.158290689320797,301.6081371460085,2.424637433164352,327.31487915597876,-50.624557740079524
57599.768388422846,30.669237128649037,299.6660348632411,3.5213369486462196,322.6494454095339,-25.35487539196896
68563.57798711024,7.560868822285453,274.67541186246945,1.0856016496936935,342.3762732888483,-74.79745608516362
85930.26103785001,8.94273372789117,306.6199290805508,6.497437049663882,320.50178353710896,-32.23067817344304
46813.70729655901,4.188733286387467,284.1771777545122,9.294668029891252,311.3400413419462,-13.899304704757412
29411.815265779187,3.910673588519035,310.4653518895814,7.038728641096103,305.548817091206,-11.25191865623691
46089.27516174342,14.54494862974027,292.79527221122873,1.4991048967048217,318.18036376421315,-37.39181115770276
56025.598331999405,31.160397981051577,308.8222599236601,9.647468237065423,297.9603757562573,-15.277481189849084
65484.35106608139,17.81085695319306,275.32430811987894,1.690630877418614,323.13214651974283,-42.517133375610285
84287.34292683082,48.06237722591467,287.94916993849114,8.007413686058184,315.66732869471593,-18.027620160978472
12396.271160640923,23.00596396761485,291.5365627779143,6.790935107904605,296.45127313865953,-3.5778019196372384
53662.56014256749,42.091673506291244,274.28895715376063,8.389666100027224,309.44857337558403,-8.739637541715751
95761.91670286874,24.718764874585098,314.86061546618316,4.466898072318635,325.78587639678216,-41.13358406527311
11776.153219713062,15.468498281720013,298.078572525363,1.8688734859313805,296.4909069976228,-9.434713460284229
54820.186211428554,11.021816913972609,294.6206996705676,7.151502717609662,310.1354346799397,-18.476793749163562
42306.178381099875,40.612933373893135,281.94674987097875,6.0969045330183915,302.70464951694385,-9.270561471827705
69340.32423551867,44.083565226905314,307.9715039137826,6.409955806530254,315.1384836382889,-21.80135183381492
13064.776399697,39.586116354756044,312.64664708567136,1.981268347635069,308.62409404559287,-13.923452322001197
60510.497470660215,49.354151014573816,322.77456421865315,0.6274614132435723,331.52212498808956,-57.19768425334189
34565.28911572319,25.705113720674753,292.3948053497163,2.3462767703754834,304.1578737892102,-18.408840427349844
25833.73625992291,32.4856848518703,294.8476655858327,6.276281030240934,296.64736544166067,-7.939894068296894
45035.14985605999,29.45731159412493,279.02769881640864,5.848818980736168,315.33504206284664,-11.581095027078163
16380.79880203171,48.8705293699438,309.74879476673857,4.3803893610200735,304.2776954591095,-10.067602762342403
79888.3175931932,35.682515722128294,300.6780706670806,7.5423487156217615,313.88845084753535,-22.06154835883956
74037.36649748549,33.637615854636195,286.1614806838201,0.8533119802248226,323.7862464069631,-51.16797256403038
30743.880367576516,6.754444638912517,286.7496962730336,4.149846579011632,305.2095201399189,-15.002669171865762
33010.86226280223,37.47200708241324,290.3193611655767,1.818424606810604,308.0970813768813,-16.056974801352396
39781.45249040821,15.961321319226697,306.23908861283763,6.302034885098338,303.23301783090426,-15.160201954158083
17041.713721505363,21.82567466015467,289.26006816241966,6.157053263742082,298.1285840756208,-5.05373423036616
41468.51327615408,23.980179876146078,309.4489590269891,9.07767123403977,298.21702547286293,-12.584721735342839
52171.166123644776,36.16341193873758,287.3174476368489,3.3367113891594253,308.7152613387381,-19.10877071978689
79633.56456920532,28.653843261797203,315.78627183014294,4.7262590253321255,312.5518535464454,-33.24711841905389
45622.64082287618,36.8750417579803,283.76874906886195,3.464685620468021,301.9821706053415,-15.019982187789537
87948.7662644987,29.239788697260167,322.50355396487214,2.674194669133809,328.74488385822815,-50.72227220780593
92660.64719941525,24.202178080322764,296.20893591444,9.18159634027367,313.3225891121351,-23.845733247369367
15994.477584581859,18.19656075743179,299.90520359365337,5.323428814270992,297.9154375514007,-6.889561023119711
61829.0496010551,38.53266166448139,303.83778198147644,7.9108340359277545,309.2152541288737,-17.24073386022434
75469.96836429441,41.624777738652185,296.88719934723406,3.855687618896647,321.8567956516095,-27.607322710836513
14292.82910508986,46.90439697384336,293.3729702570276,7.086145611131346,293.12612119855993,-3.5489845525585793
48575.56257468212,31.942670824976467,290.5992720105081,3.9160219841911985,300.9276056409534,-18.018012788257522
91166.50582051197,10.56710470497301,284.40989676464267,3.0491652002261613,333.64681721178357,-51.64408067980611
78656.03754115208,20.35686385550287,276.34635796459696,1.3083203170704043,334.75950254010075,-56.08704001279307
92001.95337634653,11.925634334698515,317.07588506781514,1.1662627551881832,357.7115509513258,-96.07008263762765
19610.706310119545,28.10050242069447,311.0053066108415,7.637624724158876,303.3525022494937,-8.107106724530752
24380.54534006399,45.91408015918736,303.79702160873677,5.627171420710341,303.9224173976975,-9.526857542799974
32441.953813836004,3.6135261495530546,308.3700701118697,2.923287177394468,304.7340862145821,-22.268759400546116
81119.51324180502,7.14425853725488,312.3277876324074,5.772337728473006,330.3231645476177,-33.75590066403288
61006.25351542206,43.023344782461336,314.13219417165124,1.3940503640580382,314.27818517407377,-42.650716881796484
71635.27502891829,26.45876639405891,303.00543843023263,9.041768706860427,310.06970639374657,-19.276718812688216
59095.686974526696,26.916609000282538,298.6066517544324,0.5432138968607182,331.69382317268224,-60.632202610599336
